customer_ID,record_type,A,B,C,D,E,F,G
10044343,0,1,0,3,3,1,2,3
10030877,0,2,1,4,3,1,0,4
10135888,0,1,1,1,1,0,2,4
10055334,1,0,0,2,2,0,0,2
10034715,0,0,0,1,1,0,0,1
10079365,0,2,0,3,2,0,3,4
10004362,0,0,0,1,2,0,0,2
10037612,0,0,0,4,3,0,2,4
10022393,0,2,0,1,1,0,2,2
10045730,0,0,0,1,3,0,0,1
10002835,1,2,1,4,3,1,0,2
10148298,0,1,1,3,2,1,1,2
10073108,0,2,1,1,2,1,1,1
10101869,0,2,0,3,3,0,2,4
10116377,0,0,0,2,1,0,0,2
10051137,0,2,0,2,3,0,3,1
10017072,0,1,0,3,3,0,2,3
10097921,0,0,1,3,3,0,2,1
10127014,0,1,1,3,3,0,2,3
10027155,0,1,0,1,1,0,2,2
10042137,0,1,0,2,2,0,1,2
10050210,0,2,1,1,1,0,3,1
10009154,0,1,1,3,3,1,2,1
10042561,0,1,0,1,1,1,1,2
10028682,0,0,0,1,2,0,0,3
10028722,0,1,1,4,3,1,0,2
10096108,0,1,0,1,2,0,1,3
10104739,0,1,1,1,2,1,2,1
10140970,0,0,1,1,3,0,0,2
10104317,0,2,1,1,3,1,2,2
10092637,0,2,1,3,3,1,2,2
10101248,0,0,1,3,3,0,0,2
10021176,0,1,1,1,1,1,2,1
10068409,0,1,0,2,3,0,2,3
10042166,0,1,0,3,3,1,1,3
10008624,0,1,0,3,3,0,2,2
10093261,0,1,1,3,3,1,2,4
10002698,0,1,1,3,3,1,2,2
10134840,0,2,0,1,3,0,2,1
10016321,0,1,0,1,2,1,1,3
10030974,0,1,1,3,3,1,1,2
10019355,0,2,1,2,3,0,3,1
10033540,0,1,1,1,2,1,1,3
10020051,0,0,0,1,1,0,0,2
10125207,0,1,1,3,3,1,2,1
10047680,0,1,0,3,3,0,2,2
10057916,0,2,0,2,2,0,3,1
10113455,0,1,0,3,3,1,2,3
10121051,0,2,1,2,3,1,1,3
10073660,0,1,0,1,3,0,1,3
10037437,0,1,0,2,2,0,2,4
10108900,0,1,0,2,3,1,1,4
10111569,0,1,0,3,3,1,1,2
10057039,0,1,0,2,2,0,1,3
10063834,0,1,1,2,3,0,2,2
10114806,0,2,1,3,3,1,1,3
10033133,0,0,0,3,3,0,0,1
10068154,0,1,0,1,1,0,2,2
10032554,0,1,1,3,3,1,2,2
10090962,0,1,1,3,3,1,2,3
10112950,0,2,0,2,2,0,0,2
10035978,0,0,0,3,3,0,0,2
10022045,0,1,0,3,3,0,2,3
10150822,0,0,0,1,1,0,0,1
10026823,0,0,0,3,2,0,0,2
10054634,0,1,1,3,3,1,1,4
10052503,0,1,0,3,3,1,0,2
10064111,0,0,1,1,1,0,0,2
10124987,0,1,0,3,3,1,2,3
10070407,0,2,1,1,3,1,3,4
10119318,0,1,1,2,3,1,1,3
10028175,0,0,0,4,3,0,0,1
10093406,0,1,1,3,3,1,2,4
10083696,0,0,0,4,3,0,0,4
10139848,0,0,0,1,1,0,0,2
10009791,0,0,0,1,1,0,0,4
10046827,0,2,1,1,1,1,3,3
10128385,0,0,1,3,3,0,0,3
10006720,1,0,0,2,2,0,1,2
10054918,0,0,0,1,2,0,0,1
10140948,0,1,0,3,3,1,2,2
10079087,0,1,0,3,3,1,1,2
10008134,0,1,0,2,3,0,2,1
10054062,0,1,0,1,2,1,1,3
10090350,0,0,0,1,1,0,0,4
10091730,0,1,1,3,3,1,0,1
10056661,0,1,1,4,3,1,1,1
10064508,0,0,0,1,1,0,0,3
10040771,0,1,1,3,3,0,2,1
10038443,0,1,0,1,1,1,2,3
10151228,0,0,0,3,3,0,0,3
10082028,1,2,0,1,2,0,3,3
10093238,0,1,0,1,1,0,2,2
10053223,0,1,0,3,3,1,1,3
10047935,0,1,0,3,3,0,2,3
10002878,0,0,0,2,2,0,0,1
10084357,0,1,0,3,3,1,2,3
10045506,0,1,0,3,3,1,0,2
10140412,0,1,0,1,2,0,1,3
10135878,0,0,0,1,2,0,0,2
10050174,0,1,0,3,3,1,2,2
10106861,0,1,1,3,3,1,0,4
10002710,0,2,1,2,2,1,2,3
10066283,0,1,0,3,3,0,2,2
10074229,0,0,0,1,1,0,0,2
10093484,0,0,0,3,3,0,0,1
10108840,0,1,1,3,3,1,1,3
10111175,0,1,1,1,2,1,2,2
10034700,0,1,1,2,2,0,2,1
10143519,0,1,0,2,3,0,2,3
10031182,0,1,1,3,3,1,2,2
10115135,0,0,0,1,3,0,0,1
10089368,0,1,0,3,2,0,2,3
10020839,0,2,0,1,1,0,3,3
10118631,0,1,1,3,3,1,0,1
10072552,0,1,1,2,3,1,1,3
10010921,0,1,0,3,3,1,0,3
10031462,0,1,0,2,3,0,2,1
10034667,0,1,0,3,3,0,1,2
10055223,0,1,0,1,2,0,2,2
10083046,0,0,1,2,2,0,1,2
10125424,0,0,0,1,1,0,0,4
10121115,0,1,1,1,2,0,2,2
10103642,0,0,0,3,3,0,2,2
10066409,0,1,0,1,3,0,2,2
10111121,0,1,1,1,3,1,2,3
10093758,0,2,0,1,1,0,0,1
10051824,0,1,0,3,3,0,0,2
10009043,0,0,0,1,1,0,0,2
10128385,0,0,1,3,3,0,0,3
10134668,0,1,1,2,2,1,2,2
10131423,0,1,0,4,3,1,2,3
10099476,0,1,1,2,2,1,1,2
10024018,0,0,1,1,1,0,0,2
10146888,0,1,1,4,3,1,0,2
10021258,0,1,1,2,2,1,2,2
10089076,0,1,0,3,3,0,2,3
10137116,0,1,0,1,1,0,2,2
10061919,0,0,1,1,2,0,0,2
10127635,0,1,1,3,3,1,2,1
10006907,0,1,1,1,3,1,2,1
10143674,0,0,0,1,3,0,1,3
10077655,0,1,0,1,1,0,2,2
10039223,0,1,1,3,3,1,1,4
10104684,0,1,0,3,3,0,2,1
10062911,0,1,0,1,3,0,2,3
10130633,0,0,0,1,1,0,0,1
10013045,0,1,1,1,3,1,1,3
10111021,0,1,1,1,3,1,2,3
10006736,0,0,0,1,1,0,0,4
10103815,0,1,1,3,3,1,1,2
10082088,0,1,1,2,2,1,2,2
10077654,0,1,1,2,2,1,1,2
10055113,0,1,1,3,3,0,1,2
10042312,0,1,0,2,3,0,2,3
10057847,0,1,1,3,2,1,1,1
10149930,0,1,1,1,2,0,2,2
10126323,0,0,0,3,3,0,0,2
10053307,0,0,1,1,2,0,0,3
10117597,0,1,0,3,3,1,2,3
10004545,0,1,0,3,3,1,1,4
10064471,1,1,1,4,3,1,0,2
10135309,0,1,0,1,2,0,1,2
10109190,0,1,1,4,1,1,2,3
10064404,0,1,0,1,3,0,2,2
10053316,0,1,1,4,3,0,2,3
10037096,1,2,1,3,3,1,0,1
10062564,0,1,0,4,3,1,1,4
10144173,0,1,1,1,1,0,1,2
10053325,0,1,0,3,3,1,2,1
10000842,0,1,0,3,3,0,2,3
10029638,0,1,1,1,3,0,0,2
10127437,0,1,0,3,3,1,2,1
10126588,0,1,1,3,3,1,2,3
10055727,0,1,1,3,3,0,2,2
10108031,0,0,1,3,3,0,0,2
10113149,0,2,0,3,2,1,1,2
10035031,0,2,1,3,3,1,3,1
10028214,0,0,1,1,3,0,0,3
10077401,1,0,1,3,3,0,0,2
10143062,0,0,1,4,3,0,0,2
10067143,0,1,0,4,3,1,0,4
10012183,0,1,1,3,2,1,2,3
10108597,0,1,1,1,3,1,2,2
10144500,0,1,0,1,1,1,2,1
10038604,0,1,1,1,3,0,1,2
10044780,1,1,1,3,2,1,1,4
10131363,0,1,1,2,3,1,2,3
10086693,0,1,1,2,2,1,2,2
10140678,1,0,0,1,2,0,0,1
10087760,0,0,0,3,3,0,3,1
10022181,0,2,0,1,1,0,2,3
10147835,0,1,0,3,3,0,1,1
10078312,0,0,0,1,3,0,0,1
10113105,0,1,0,3,3,1,1,2
10091385,0,1,1,3,3,0,2,1
10026441,0,1,0,4,3,1,0,2
10048148,0,1,0,2,1,0,0,2
10137772,0,1,1,3,3,0,1,1
10104974,0,2,0,3,3,0,1,3
10013463,0,1,0,1,1,0,2,2
10116192,0,1,0,3,3,1,0,1
10147139,0,1,1,1,2,0,0,2
10044346,0,1,1,3,3,1,2,3
10056777,0,1,0,3,3,0,2,2
10103752,0,1,1,2,3,1,1,2
10102810,0,1,0,3,3,1,1,2
10049534,0,1,1,3,3,0,2,3
10068831,0,0,0,2,2,0,0,1
10059765,0,1,0,2,2,1,1,3
10038875,0,1,1,1,3,1,2,2
10008159,1,0,1,2,3,0,0,2
10081936,0,2,1,3,3,0,0,2
10142146,0,1,1,2,2,1,1,2
10100833,0,0,0,1,1,0,0,2
10007516,0,1,1,3,3,1,1,2
10060730,0,1,0,3,3,0,2,1
10082393,1,1,1,1,2,0,2,2
10131449,0,0,1,1,3,0,0,3
10109557,0,1,1,3,3,0,1,2
10055303,0,1,0,1,1,0,2,3
10026934,0,1,0,3,3,0,2,3
10071402,0,1,0,1,1,0,1,2
10067906,0,1,1,3,3,1,0,4
10108998,1,1,0,3,3,1,2,3
10123407,0,2,0,2,1,0,2,3
10128161,0,1,0,4,3,0,1,4
10014718,0,2,0,3,3,1,2,3
10059329,0,1,1,3,3,1,2,3
10147992,1,1,0,3,3,0,0,2
10015870,0,1,0,3,3,0,2,2
10121291,1,1,0,1,1,1,2,3
10116203,0,2,1,3,3,1,0,4
10103615,0,1,0,3,3,0,2,2
10031173,0,1,0,1,2,1,0,1
10074033,0,0,0,2,1,0,0,2
10117956,0,1,1,1,3,1,1,2
10049561,0,0,0,3,3,0,0,2
10085889,0,2,0,1,1,0,3,1
10007666,0,1,0,3,3,1,2,3
10077260,0,1,1,1,2,1,1,3
10031819,0,1,1,3,3,1,2,3
10035856,0,0,0,3,3,0,0,2
10118778,0,1,1,4,3,1,2,3
10030236,0,1,0,3,3,0,0,4
10125855,0,0,0,1,1,0,0,2
10005645,0,1,0,3,2,1,1,3
10028633,0,1,1,3,3,1,2,3
10008933,0,0,0,2,2,0,0,2
10035267,0,2,0,3,3,1,2,3
10013051,0,1,1,3,3,0,2,2
10004197,0,1,1,1,2,1,1,2
10147000,0,1,1,4,3,1,1,3
10099903,0,2,0,1,2,0,2,3
10120644,0,1,1,3,3,1,1,2
10128667,0,1,0,2,2,1,1,2
10128515,0,2,0,3,3,1,2,4
10129013,0,0,0,3,3,0,1,2
10024586,0,1,0,1,2,0,2,2
10020984,0,0,1,2,3,0,2,1
10069227,1,1,1,3,3,1,2,1
10112886,0,1,0,3,3,0,2,3
10016980,0,1,0,1,2,1,0,4
10063553,1,1,1,1,2,0,2,4
10030635,0,1,0,3,3,1,1,3
10102188,1,0,1,2,2,0,0,2
10014063,0,0,0,1,2,0,0,1
10004144,0,1,1,1,1,1,2,2
10104903,0,0,1,3,3,0,0,2
10103108,0,1,0,1,2,0,2,4
10103538,0,1,0,1,2,1,2,3
10041844,0,1,1,1,3,1,2,2
10069026,0,1,1,3,3,1,0,1
10041446,0,0,1,2,2,0,0,2
10061168,0,1,1,4,3,1,2,3
10132721,0,1,0,3,3,1,0,2
10070315,0,1,0,4,3,1,1,3
10007521,0,1,1,2,3,1,2,3
10142607,0,1,0,1,1,0,2,2
10139201,0,1,0,3,3,1,2,3
10129961,0,0,0,1,1,0,1,1
10128948,0,2,1,3,3,0,1,3
10038106,0,1,0,1,3,0,1,4
10117070,0,1,1,2,3,1,2,3
10067339,0,1,1,3,2,0,1,4
10007114,0,2,1,1,2,1,2,3
10106304,0,1,1,3,3,1,1,4
10116143,0,0,0,1,2,0,0,2
10103422,0,0,1,1,2,0,0,2
10005603,0,1,0,1,3,0,2,3
10103106,0,1,0,3,3,1,2,3
10146860,0,1,0,3,3,0,2,2
10032629,0,1,0,3,3,0,2,2
